                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1741,                0.91202,                 1.1059,                0.96541,                0.99693,                0.99291,                0.61364,                 1.2746,                0.92686,                0.99254,             0.00091549,             0.00091549,             0.00091549
                     36,                 1.2124,                0.82241,                 1.0805,                0.95916,                0.96429,                0.97716,                0.60548,                 1.3409,                0.90581,                 1.0276,             0.00092797,             0.00092797,             0.00092797
                     37,                 1.2461,                0.92735,                 1.1283,                0.95916,                0.96429,                0.97716,                0.60548,                 1.3409,                0.90581,                 1.0276,             0.00093966,             0.00093966,             0.00093966
                     38,                 1.0572,                0.79509,                 1.0289,                0.96535,                0.99517,                0.99018,                0.65486,                 1.2509,                  0.855,                 1.0009,             0.00095055,             0.00095055,             0.00095055
                     39,                 1.0077,                0.77902,                  1.031,                      1,                0.99478,                  0.995,                0.66817,                 1.2003,                 0.8264,                0.99346,             0.00096065,             0.00096065,             0.00096065
                     40,                 1.1946,                0.82678,                 1.0454,                      1,                0.99478,                  0.995,                0.66817,                 1.2003,                 0.8264,                0.99346,             0.00096996,             0.00096996,             0.00096996
                     41,                 1.1559,                0.88284,                 1.0435,                      1,                0.99075,                  0.995,                0.66091,                 1.1949,                0.82477,                 1.0054,             0.00097848,             0.00097848,             0.00097848
                     42,                 1.0654,                0.91867,                 1.0544,                0.94806,                0.97787,                0.98906,                0.67205,                 1.1554,                0.84171,                0.99034,             0.00098621,             0.00098621,             0.00098621
                     43,                 1.1104,                0.77339,                 1.0199,                0.94806,                0.97787,                0.98906,                0.67205,                 1.1554,                0.84171,                0.99034,             0.00099314,             0.00099314,             0.00099314
                     44,                   1.15,                0.90165,                 1.0582,                0.92946,                0.92857,                0.97633,                0.64141,                 1.2045,                0.90726,                0.98262,             0.00099928,             0.00099928,             0.00099928
                     45,                 1.0222,                0.73073,                 1.0213,                0.92946,                0.92857,                0.97633,                0.64141,                 1.2045,                0.90726,                0.98262,              0.0010046,              0.0010046,              0.0010046
                     46,                 1.0594,                0.88506,                 1.0077,                0.91612,                0.97528,                0.98033,                0.65063,                 1.2095,                0.95301,                 0.9777,              0.0010092,              0.0010092,              0.0010092
                     47,                 1.1633,                0.99032,                 1.1632,                0.91612,                0.97528,                0.98033,                0.65063,                 1.2095,                0.95301,                 0.9777,               0.001013,               0.001013,               0.001013
                     48,                 1.1919,                 1.0264,                 1.0747,                0.93965,                      1,                 0.9903,                0.66931,                 1.1583,                0.92381,                0.97695,              0.0010159,              0.0010159,              0.0010159
                     49,                 1.0891,                0.75313,                 1.0194,                0.93965,                      1,                 0.9903,                0.66931,                 1.1583,                0.92381,                0.97695,              0.0010181,              0.0010181,              0.0010181
                     50,                 1.0671,                0.85024,                  1.077,                0.96075,                      1,                0.98948,                0.68536,                 1.1364,                0.86272,                0.97897,              0.0010195,              0.0010195,              0.0010195
                     51,                 1.0814,                0.76946,                0.99245,                0.96075,                      1,                0.98948,                0.68536,                 1.1364,                0.86272,                0.97897,                0.00101,                0.00101,                0.00101
                     52,                0.96907,                0.69995,                0.99276,                0.96545,                0.99797,                0.98497,                 0.6431,                 1.2061,                0.84618,                0.98558,              0.0009902,              0.0009902,              0.0009902
                     53,                0.95852,                0.95279,                 1.0016,                0.96545,                0.99797,                0.98497,                 0.6431,                 1.2061,                0.84618,                0.98558,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1815,                0.79266,                 1.0951,                0.98239,                0.99604,                0.99202,                0.66489,                 1.1917,                0.77622,                 0.9866,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0253,                0.73249,                 1.0008,                0.98239,                0.99604,                0.99202,                0.66489,                 1.1917,                0.77622,                 0.9866,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.2662,                0.86351,                 1.2229,                0.98242,                 0.9981,                 0.9936,                0.67445,                 1.1718,                0.73414,                0.97836,               0.000911,               0.000911,               0.000911
                     57,                 1.0005,                0.81506,                 1.0459,                0.98242,                 0.9981,                 0.9936,                0.67445,                 1.1718,                0.73414,                0.97836,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0596,                0.75311,                 1.0544,                0.97802,                      1,                0.99482,                0.69867,                 1.0905,                0.67004,                0.96855,              0.0008714,              0.0008714,              0.0008714
                     59,                0.95101,                0.66339,                 1.0031,                0.97802,                      1,                0.99482,                0.69867,                 1.0905,                0.67004,                0.96855,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0513,                0.69242,                 1.0118,                0.99302,                      1,                  0.995,                0.68683,                 1.0987,                0.65521,                0.97841,              0.0008318,              0.0008318,              0.0008318
                     61,                0.95495,                 0.6634,                 0.9839,                0.99302,                      1,                  0.995,                0.68683,                 1.0987,                0.65521,                0.97841,               0.000812,               0.000812,               0.000812
                     62,                0.97695,                 1.0667,                 1.0226,                      1,                0.99835,                  0.995,                0.67776,                 1.1463,                0.65787,                0.99534,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0439,                0.80168,                 1.0542,                      1,                0.99835,                  0.995,                0.67776,                 1.1463,                0.65787,                0.99534,              0.0007724,              0.0007724,              0.0007724
                     64,                0.96293,                0.66025,                0.98285,                      1,                0.99524,                  0.995,                0.67003,                 1.1789,                0.64884,                 1.0023,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1642,                0.73382,                 1.0803,                      1,                0.99524,                  0.995,                0.67003,                 1.1789,                0.64884,                 1.0023,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0018,                0.84299,                 1.0878,                0.99442,                      1,                  0.995,                0.66595,                 1.1626,                0.63946,                0.99515,               0.000713,               0.000713,               0.000713
                     67,                0.95711,                0.84224,                 1.0562,                0.99442,                      1,                  0.995,                0.66595,                 1.1626,                0.63946,                0.99515,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0406,                0.64903,                0.99038,                0.98052,                      1,                0.99482,                0.69688,                 1.1069,                0.60946,                0.98404,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1544,                0.93146,                 1.0234,                0.98052,                      1,                0.99482,                0.69688,                 1.1069,                0.60946,                0.98404,              0.0006536,              0.0006536,              0.0006536
                     70,                0.97948,                0.63229,                 1.0203,                 0.9976,                      1,                  0.995,                0.69723,                 1.0913,                0.59517,                0.97973,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0079,                0.69396,                0.97627,                 0.9976,                      1,                  0.995,                0.69723,                 1.0913,                0.59517,                0.97973,               0.000614,               0.000614,               0.000614
                     72,                0.97673,                0.62142,                 1.0021,                0.99804,                      1,                  0.995,                0.69622,                 1.1161,                0.59868,                0.98642,              0.0005942,              0.0005942,              0.0005942
                     73,                0.94015,                0.71722,                0.95865,                0.99804,                      1,                  0.995,                0.69622,                 1.1161,                0.59868,                0.98642,              0.0005744,              0.0005744,              0.0005744
                     74,                0.82986,                0.64653,                0.95349,                0.99842,                      1,                  0.995,                0.68768,                 1.1426,                0.59271,                 0.9906,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.8894,                0.63268,                0.96224,                0.99842,                      1,                  0.995,                0.68768,                 1.1426,                0.59271,                 0.9906,              0.0005348,              0.0005348,              0.0005348
                     76,                0.96533,                0.66528,                 1.0322,                0.99821,                      1,                  0.995,                0.68794,                 1.1355,                0.57998,                 0.9938,               0.000515,               0.000515,               0.000515
                     77,                0.88389,                0.69982,                0.96376,                0.99821,                      1,                  0.995,                0.68794,                 1.1355,                0.57998,                 0.9938,              0.0004952,              0.0004952,              0.0004952
                     78,                0.97114,                0.65194,                0.98578,                0.99826,                      1,                  0.995,                0.69204,                 1.1282,                0.56636,                 1.0036,              0.0004754,              0.0004754,              0.0004754
                     79,                0.99822,                0.77422,                0.96996,                0.99826,                      1,                  0.995,                0.69204,                 1.1282,                0.56636,                 1.0036,              0.0004556,              0.0004556,              0.0004556
                     80,                0.81034,                0.59347,                0.95452,                0.99842,                      1,                  0.995,                0.68475,                 1.1223,                0.56202,                 1.0139,              0.0004358,              0.0004358,              0.0004358
                     81,                0.94646,                0.67961,                   1.04,                0.99842,                      1,                  0.995,                0.68475,                 1.1223,                0.56202,                 1.0139,               0.000416,               0.000416,               0.000416
                     82,                 1.1722,                0.75553,                 1.1294,                0.99863,                      1,                  0.995,                0.68869,                 1.1091,                0.55075,                 1.0212,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0451,                0.70966,                0.98074,                0.99863,                      1,                  0.995,                0.68869,                 1.1091,                0.55075,                 1.0212,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.0842,                 0.7873,                0.97129,                0.99835,                      1,                  0.995,                0.69603,                 1.1045,                0.55268,                 1.0173,              0.0003566,              0.0003566,              0.0003566
                     85,                0.99351,                0.61051,                 1.0168,                0.99835,                      1,                  0.995,                0.69603,                 1.1045,                0.55268,                 1.0173,              0.0003368,              0.0003368,              0.0003368
                     86,                0.88535,                0.58626,                0.92199,                0.99836,                      1,                  0.995,                0.69472,                  1.107,                0.54712,                  1.014,               0.000317,               0.000317,               0.000317
                     87,                 1.0081,                0.69103,                 1.0714,                0.99836,                      1,                  0.995,                0.69472,                  1.107,                0.54712,                  1.014,              0.0002972,              0.0002972,              0.0002972
                     88,                0.85559,                0.61238,                0.91716,                0.99843,                      1,                  0.995,                0.68843,                 1.1403,                0.53515,                 1.0144,              0.0002774,              0.0002774,              0.0002774
                     89,                0.88718,                0.64115,                0.95676,                0.99843,                      1,                  0.995,                0.68843,                 1.1403,                0.53515,                 1.0144,              0.0002576,              0.0002576,              0.0002576
                     90,                0.99364,                0.81374,                0.95317,                0.99839,                      1,                  0.995,                0.67686,                 1.1773,                0.53541,                 1.0154,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.2394,                 1.0085,                 1.0953,                0.99839,                      1,                  0.995,                0.67686,                 1.1773,                0.53541,                 1.0154,               0.000218,               0.000218,               0.000218
                     92,                0.83583,                0.65539,                  0.982,                0.99808,                      1,                  0.995,                0.67689,                 1.1891,                 0.5321,                 1.0123,              0.0001982,              0.0001982,              0.0001982
                     93,                0.95273,                0.65987,                 1.0018,                0.99808,                      1,                  0.995,                0.67689,                 1.1891,                 0.5321,                 1.0123,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.2708,                 1.6498,                 1.0237,                0.99865,                      1,                  0.995,                0.67858,                 1.1832,                0.52885,                 1.0043,              0.0001586,              0.0001586,              0.0001586
                     95,                0.86821,                0.65332,                 0.9304,                0.99865,                      1,                  0.995,                0.67858,                 1.1832,                0.52885,                 1.0043,              0.0001388,              0.0001388,              0.0001388
                     96,                0.88942,                0.60573,                0.96394,                0.99877,                      1,                  0.995,                0.67809,                  1.164,                0.52643,                0.99925,               0.000119,               0.000119,               0.000119
                     97,                0.85022,                0.58858,                0.92777,                0.99877,                      1,                  0.995,                0.67809,                  1.164,                0.52643,                0.99925,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.88555,                0.65542,                 1.0186,                0.99872,                      1,                  0.995,                0.68394,                 1.1382,                0.52621,                0.99242,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.91908,                0.61896,                0.99683,                0.99872,                      1,                  0.995,                0.68394,                 1.1382,                0.52621,                0.99242,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.86932,                0.59357,                0.94093,                 0.9987,                      1,                  0.995,                0.69727,                 1.1317,                0.51952,                0.99227,               3.98e-05,               3.98e-05,               3.98e-05
